Name,Type,Move Power,Move Time,PP,Duration,Range,Description,Scaling,Save
Blaze Kick,Fire,STR DEX ,1 action,5,Instantaneous,Melee,Flames burst from your feet as you deliver a powerful kick. Make a melee attack on a creature_ doing fire damage on a hit. On a natural attack roll of 18 or more_ the target is burned. This move scores a critical hit on 19s and 20s.,Higher Levels: The damage dice roll for this move changes to 2d8 at level 5_ 4d6 at level 10_ and 6d6 at level 17.,Missing
Blizzard,Ice,STR DEX ,1 action,3,Instantaneous,100ft,Icy clouds form overhead and pelt the ground with hail and snow_ centered on a point you choose within range. Each creature in a 30 ft radius_ centered on a point within range_ must make a DEX saving throw against your Move DC_ taking ice damage on a failed save_ or half as much on a successful one. Targets that fail the save by 5 or more become frozen.,Higher Levels: The damage dice roll for this move changes to 3d8 at level 5_ 6d6 at level 10_ and 7d8 at level 17.,DEX
Block,Normal,Missing,1 reaction,3,Instantaneous,50ft,If a creature within range attempts to flee or switch out_ you may use your reaction to stop it dead in its tracks_ keeping this from happening.,Missing,Missing
Blue Flare,Fire,STR DEX ,1 action,3,Instantaneous,Self (50ft line),You unleash an intense and beautiful line of blue flames in a 50 foot line_ 5 feet wide. Any creature caught in the line must make a DEX save against your Move DC_ taking fire damage on a failure_ or half as much on a success. If a creature fails the save by 5 or more_ they are burned.,Higher Levels: The damage dice roll for this move changes to 3d10 at level 5_ 5d8 at level 10_ and 8d8 at level 17.,DEX
Body Slam,Normal,STR ,1 action,10,Instantaneous,Melee,You thrust yourself towards a creature in an attempt to crush them with your physical size. Make a melee attack on a target. On a hit_ the target takes normal damage_ and must succeed on a STR saving throw against your Move DC or be knocked prone.,Higher Levels: The damage dice roll for this move changes to 2d8 at level 5_ 4d6 at level 10_ and 6d6 at level 17.,STR
Bolt Strike,Electric,STR DEX ,1 action,3,Instantaneous,50ft,You send down a powerful strike of lightning from the heavens_ surrounding an area of the battlefield with surging electricity. Any creature caught in a 20 foot radius_ centered on a point within range_ must make a DEX save against your Move DC_ taking electric damage on a failure_ or half as much on a success. If a creature fails the save by 5 or more_ it becomes paralyzed.,Higher Levels: The damage dice roll for this move changes to 3d10 at level 5_ 5d8 at level 10_ and 8d8 at level 17.,DEX
Bone Club,Ground,STR DEX ,1 action,10,Instantaneous,Melee,You strike a creature with a club of bone_ doing ground damage on a successful hit. If the natural attack roll is 18 or more_ the target flinches.,Higher Levels: The damage dice roll for this move changes to 2d8 at level 5_ 5d4 at level 10_ and 4d8 at level 17.,Missing
Bone Rush,Ground,STR ,1 action,5,Instantaneous,Melee,You rush forward to deliver a series of hard hits against a target. Make a melee attack roll_ doing ground damage on a hit. After successfully hitting a target_ roll a d4. On a result of 3 or 4_ you may immediately hit again for an additional ground damage. Continue this process until you fail to roll a 3 or 4 on the d4 roll_ up to a maximum of four additional hits.,Higher Levels: The damage dice rolls for this move change to 2d4 at level 5_ 1d12 at level 10_ and 4d4 at level 17.,Missing
Bonemerang,Ground,DEX ,1 action,5,Instantaneous,80ft,You throw a boomerang and make two ranged attacks against a target. On each successful hit_ do ground damage.,Higher Levels: The damage dice roll for this move changes to 1d6 at level 5_ 2d4 at level 10_ and 3d4 at level 17.,Missing
Boomburst,Normal,STR CHA ,1 action,5,Instantaneous,Self (20ft radius),You create a deafening_ explosive sound that damages all creatures within 20 feet of you. Force any creature in range to make a CON save against your Move DC_ taking normal damage on a failure_ or half as much on a success.,Higher Levels: The damage dice roll for this move changes to 3d10 at level 5_ 7d6 at level 10_ and 8d8 at level 17.,CON
Bounce,Flying,DEX ,1 action,5,1 round_ charge,80ft,When you activate this move_ you use 10 feet of your movement to bounce upwards and disappear_ remaining in an invulnerable state until your next turn. During this time_ you are immune to the damage and effects of any move. If you have no remaining movement or are grappled/restrained before activating this move_ the move fails. On your next turn_ as an action_ you reappear and attempt to slam down on top of a creature. Make a melee attack roll on a creature in range_ with advantage_ doing flying damage on a hit. On a natural attack roll of 15 or more_ the target is paralyzed.,Higher Levels: The damage dice roll for this move changes to 2d10 at level 5_ 3d10 at level 10_ and 4d12 at level 17.,Missing
Brave Bird,Flying,STR DEX ,1 action,10,Instantaneous,Melee,You tuck in your wings and dive at a creature. Make a melee attack_ dealing flying damage on a hit. On a hit_ you also take a quarter of the total (rounded down) in typeless recoil damage.,Higher Levels: The damage dice roll for this move changes to 3d8 at level 5_ 4d10 at level 10_ and 7d8 at level 17.,Missing
Brick Break,Fighting,STR ,1 action,10,Instantaneous,Melee,You strike out with a powerful and focused punch. Make a melee attack roll on a creature_ doing fighting damage on a hit. This move ignores the effects of moves that would reduce its damage (Harden_ Reflect_ etc.),Higher Levels: The damage dice roll for this move changes to 2d8 at level 5_ 2d12 at level 10_ and 6d6 at level 17.,Missing
Brine,Water,STR DEX ,1 action,5,Instantaneous,40ft,You send a harsh blast of salt water at a creature. Make a ranged attack against a creature_ dealing water damage on a hit. If the target has less that 50% of its max HP_ double the damage dealt.,Higher Levels: The damage dice roll for this move changes to 2d8 at level 5_ 5d4 at level 10_ and 4d8 at level 17.,Missing
Brutal Swing,Dark,STR ,1 action,10,Instantaneous,Self (5ft radius),You swing your arms around violently_ attacking anything within a 10 foot circle_ centered on yourself. All creatures in range must make a DEX saving throw against your Move DC_ taking dark damage on a failure_ or half as much on a success.,Higher Levels: The damage dice roll for this move changes to 2d8 at level 5_ 5d4 at level 10_ and 4d8 at level 17.,DEX
Bubble Beam,Water,STR DEX ,1 action,10,Instantaneous,80ft,You shoot a concentrated stream of bubbles at a single creature in range. Make a ranged attack roll_ doing water damage on a hit. On natural attack rolls of 19 or 20_ the target's speed is halved until the end of their next turn.,Higher Levels: The damage dice roll for this move changes to 2d8 at level 5_ 5d4 at level 10_ and 4d8 at level 17.,Missing
Bubble,Water,DEX ,1 action,15,Instantaneous,60ft,You shoot a series of quickly moving bubbles at a target. Make three ranged attacks_ doing water damage on each successful hit.,Higher Levels: The damage dice roll for this move changes to 1d8 at level 5_ 2d6 at level 10_ and 3d6 at level 17.,Missing
Bug Bite,Bug,STR DEX ,1 action,10,Instantaneous,Melee,You lash out and bite a target. Make a melee attack against a creature_ dealing bug damage on a hit. If the target is holding a berry when you hit_ you immediately eat it and gain its effect.,Higher Levels: The damage dice roll for this move changes to 2d8 at level 5_ 5d4 at level 10_ and 4d8 at level 17.,Missing
Bug Buzz,Bug,DEX CHA ,1 action,3,Instantaneous,Self (20ft radius),You vibrate your wings_ creating a harsh sound that damages any creature in range. All creatures within 20 feet of you must make a CON save against your Move DC_ taking bug damage on a fail. If a creature fails the save by 5 or more_ they have disadvantage on their next attack.,Higher Levels: The damage dice roll for this move changes to 2d10 at level 5_ 3d10 at level 10_ and 4d12 at level 17.,CON
Bulk Up,Fighting,Missing,1 action,10,1 minute_ Concentration,Self,You pump yourself up_ increasing your adrenaline. For the next minute_ choose to add +1 to your attack rolls OR +1 to AC. This move can be stacked to a maximum of +5 for either choice.,Missing,Missing
Bulldoze,Ground,STR ,1 action,10,Instantaneous,Self (15ft radius),You strike the ground so hard that it ripples out from you in a 30 foot circle. Any creature caught in the area must make a DEX save against your Move DC_ taking ground damage on a failure_ or half as much on a success. Raised creatures are immune to the effects and damage of this move.,Higher Levels: The damage dice roll for this move changes to 2d8 at level 5_ 5d4 at level 10_ and 4d8 at level 17.,DEX
Bullet Punch,Steel,STR DEX ,1 bonus action,15,Instantaneous,Melee,You strike with a punch that is quick as a bullet. Choose a target within 10 feet of you. You rush forward to slam a fist into the creature_ avoiding all attacks of opportunity. Make a melee attack on that creature_ dealing steel damage on a hit.,Higher Levels: The damage dice roll for this move changes to 1d6 at level 5_ 1d10 at level 10_ and 1d12 at level 17.,Missing
Bullet Seed,Grass,DEX ,1 action,15,Instantaneous,30ft,Your fire a series of high-speed seeds at a creature. Make a ranged attack roll_ doing grass damage on a hit. After successfully hitting a target_ roll a d4. On a result of 3 or 4_ you may immediately hit again for an additional grass damage. Continue this process until you fail to roll a 3 or 4 on the d4 roll_ up to a maximum of four additional hits.,Higher Levels: The damage dice roll for this move changes to 2d4 at level 5_ 1d12 at level 10_ and 4d4 at level 17.,Missing
Burn Up,Fire,STR DEX ,1 action,3,Instantaneous,Self (15ft radius),You use up all the fire energy you have to inflict massive damage in a 30 foot circle_ centered on you. Creatures within the area must make a DEX save against your Move DC. On a failure_ the creature take fire damage and become burned. On a success_ they take half as much damage without being burned. After using this move_ the user burns itself out and loses its fire-typing for the remainder of combat. Dual-type fire Pokemon change to their single other type_ and single-type Pokemon become typeless_ losing STAB and all vulnerabilites_ resistances_ and immunities.,Higher Levels: The damage dice roll for this move changes to 3d10 at level 5_ 5d8 at level 10_ and 8d8 at level 17.,DEX
Calm Mind,Psychic,Missing,1 action,10,1 minute_ Concentration,Self,You clear your mind of all distractions. For the duration_ double your STAB bonus when dealing damage of your type.,Missing,Missing
Camouflage,Normal,Missing,1 action,10,1 minute_ Concentration,Self,You blend in with your surroundings_ taking on a new type for resistances/vulnerabilities/immunities. The type is dependent on the terrain_ and up to the DMs discretion. (Ex: Forest = Grass_ Beach = Water_ Desert = Ground/Fire_ Mountain = Rock_ etc.),Missing,Missing
Captivate,Normal,WIS CHA ,1 reaction,3,Instantaneous,40ft,You attempt to charm a creature into pulling its punches. When hit by an attack from a creature of the opposite gender_ you may use a reaction to force it to make a CHA save against your Move DC. On a failure_ the attack does not hit.,Missing,CHA
Charge Beam,Electric,STR DEX ,1 action,10,Instantaneous,80ft,You send a beam of electric energy at a creature that has a chance to power you up. Make a ranged attack_ dealing electric damage on a hit. If the natural attack roll is 10 or higher and the attack hits_ double your MOVE modifier for the damage of this move and any other move you activate before the end of your next turn.,Higher Levels: The damage dice roll for this move changes to 2d6 at level 5_ 4d4 at level 10_ and 3d10 at level 17.,Missing
Charge,Electric,Missing,1 action,10,1 round_ Concentration,Self,Electricity surges through your body_ charging up for your next attack. Until your next turn_ boost your AC by 2. On your next turn_ double your STAB bonus when dealing damage of your type.,Missing,Missing
Charm,Fairy,CHA WIS ,1 action,10,1 minute,80ft,You attempt to charm a creature_ sharply decreasing its attack. A target you choose in range must make a WIS save against your Move DC. On a fail_ the target adds -2 to all attacks against you for the duration.,Higher Levels: The target adds -3 at level 5_ -4 at level 10_ and -5 at level 17.,WIS
Chatter,Flying,WIS CHA ,1 action,5,Instantaneous,30ft,You shout a series of disorienting words at a creature_ scrambling their senses. Make a ranged attack. On a hit_ deal flying damage and cause the target to become confused.,Higher Levels: The damage dice roll for this move changes to 2d8 at level 5_ 5d4 at level 10_ and 4d8 at level 17.,Missing
Chip Away,Normal,STR DEX ,1 action,10,Instantaneous,Melee,You wait for an opening_ striking with speed when the moment is right. Ignoring any boosts to the AC of a target_ make a melee attack_ dealing normal damage on a hit.,Higher Levels: The damage dice roll for this move changes to 2d8 at level 5_ 2d12 at level 10_ and 6d6 at level 17.,Missing
Circle Throw,Fighting,STR ,1 action,5,Instantaneous,Melee,You swing the target around and throw it as hard as you can_ away from the battlefield. Make a melee attack_ dealing fighting damage on a hit. In wild battles_ the target takes the damage and flees from battle if its level is lower than that of the user. In trainer battles_ the target takes the damage and must be immediately switched out for another creature in the trainer's party_ if any remain.,Higher Levels: The damage dice roll for this move changes to 2d8 at level 5_ 5d4 at level 10_ and 4d8 at level 17.,Missing
Clamp,Water,STR ,1 action,10,1 minute,Melee,You clamp down on a target_ attempting to deal damage and keep them in place. Make a melee attack roll. On a hit_ the target takes water damage and is grappled. At the beginning of each of its turns_ it may attempt to pry itself away with a STR save against your Move DC. As long as the target is grappled on your subsequent turns_ this move can be activated again as a bonus action with an automatic hit_ dealing water damage.,Higher Levels: The damage dice roll for this move changes to 1d10 at level 5_ 2d8 at level 10_ and 5d4 at level 17.,STR
Clanging Scales,Dragon,STR WIS ,1 action,3,Instantaneous,Self (30ft cone),You slam your scaled hands together to create an intense_ sound-based shockwave in a 30 foot cone in front of you. Any creature caught in the blast must make a CON save against your Move DC_ taking dragon damage on a failure_ or half as much on a success. Creatures that fail the save by 5 or more reduce their AC by 1 for the remainder of combat.,Higher Levels: The damage dice roll for this move changes to 3d8 at level 5_ 6d6 at level 10_ and 7d8 at level 17.,CON
Clear Smog,Poison,DEX CON ,1 action,10,Instantaneous,20ft,You throw a clump of special mud that has the power to remove all stat changes from a target. Make a ranged attack_ dealing poison damage on a hit. On a hit_ any stat changes affecting the target since the beginning of battle are reset.,Higher Levels: The damage dice roll for this move changes to 2d6 at level 5_ 4d4 at level 10_ and 3d10 at level 17.,Missing
Close Combat,Fighting,STR ,1 action,3,Instantaneous,Melee,You get in close for a devastating strike_ sacrificing your defenses. Make a melee attack on a creature_ dealing fighting damage on a hit. After activating this move_ the target has advantage on any attack it makes against you before the beginning of your next turn.,Higher Levels: The damage dice roll for this move changes to 3d8 at level 5_ 4d10 at level 10_ and 7d8 at level 17.,Missing
Coil,Poison,Missing,1 action,3,1 minute_ Concentration,Self,You coil up and concentrate your power. For the duration_ gain +1 to your attack rolls_ damage rolls_ and AC.,Missing,Missing
Comet Punch,Normal,STR DEX ,1 action,10,Instantaneous,Melee,You strike out with a lightning fast punch. Make a melee attack roll. The target takes normal damage on a hit. After successfully hitting a target_ roll a d4. On a result of 3 or 4_ you may immediately hit again for an additional normal damage. Continue this process until you fail to roll a 3 or 4 on the d4 roll_ up to a maximum of four additional hits.,Higher Levels: The damage dice rolls for this move change to 1d6 at level 5_ 1d8 at level 10_ and 2d6 at level 17.,Missing
